Kongress der Kaiserlichen Akademie der Astronomen 
Jahrestagung 1973 in Lorsch
Legende:
x,y -> z
11368,21211 -> 5
3399,10975 -> 8
2466,30737 -> 1
25591,31664 -> 8
8957,22981 -> 1
14773,6888 -> 3
6418,19504 -> 1
30954,7849 -> 4
31651,18207 -> 5
32603,5710 -> 1
14624,7402 -> 3
28626,253 -> 2
22721,30111 -> 7
29081,11939 -> 8
6741,7451 -> 3
8789,7662 -> 7
25364,19972 -> 3
29674,2594 -> 2
287,15587 -> 5
4962,12766 -> 1
22376,3543 -> 7
5908,31787 -> 1
567,25741 -> 7
24960,4969 -> 4
2196,12672 -> 7
13203,26108 -> 8
18741,4285 -> 3
9305,19136 -> 3
4539,19853 -> 1
27970,23473 -> 4
17776,15325 -> 4
389,840 -> 1
13504,25406 -> 4
3147,18813 -> 2
22811,16584 -> 7
1179,13171 -> 7
8458,31827 -> 5
22352,5418 -> 2
26268,8888 -> 3
=== Land Nr. 9 ===
1653,5853 -> 8
7801,6681 -> 3
23257,30670 -> 3
22575,26220 -> 5
12226,22185 -> 3
22695,17330 -> 5
18944,3023 -> 8
32188,26782 -> 5
25298,31773 -> 8
18019,16292 -> 8
25691,19224 -> 2
23796,23972 -> 5
6301,2428 -> 6
26986,17572 -> 5
3370,31132 -> 7
20402,26211 -> 4
32019,21796 -> 4
25191,11684 -> 2
32705,14348 -> 4
3215,26236 -> 6
22187,743 -> 5
5421,32026 -> 8
19767,15060 -> 6
30150,1969 -> 7
1317,14253 -> 1
22835,15250 -> 5
3919,24922 -> 6
19019,5784 -> 8
9122,25418 -> 1
29263,32118 -> 3
31910,10618 -> 6
5414,9347 -> 1
6631,15516 -> 2
19894,7195 -> 2
=== Land Nr. 10 ===
18973,15163 -> 6
30484,6831 -> 8
10476,19433 -> 5
16180,28175 -> 2
1417,2263 -> 3
9823,10922 -> 1
16043,8054 -> 5
15015,2722 -> 3
21912,16106 -> 1
16637,18441 -> 6
=== Land Nr. 11 ===
7463,1643 -> 2
17857,25778 -> 8
19206,248 -> 7
19687,5963 -> 1
8378,28134 -> 5
7678,18619 -> 2
=== Land Nr. 12 ===
12033,11813 -> 4
700,32263 -> 8
12707,15453 -> 4
20194,2590 -> 1
31449,10799 -> 1
16021,16476 -> 8
11470,18232 -> 8
13431,27568 -> 1
25835,26286 -> 6
13098,22426 -> 6
20453,16046 -> 4
9734,3973 -> 3
=== Land Nr. 13 ===
11983,10383 -> 8
15141,28204 -> 2
29848,11231 -> 8
17684,31230 -> 1
8383,17870 -> 2
25798,11464 -> 5
10024,23858 -> 7
11423,29712 -> 6
24138,22387 -> 2
5047,17625 -> 5
25658,23793 -> 4
31898,22742 -> 5
58,7119 -> 7
21809,25644 -> 6
2521,20002 -> 3
32165,6745 -> 2
8130,1270 -> 1
16975,32218 -> 4
18379,19367 -> 7
22801,2462 -> 6
16107,12159 -> 1
3249,5237 -> 7
6936,9625 -> 7
8467,11760 -> 7
14912,15738 -> 3
4437,29045 -> 6
8408,6368 -> 6
9542,14191 -> 7
12216,20913 -> 8
3505,30180 -> 7
19516,23830 -> 2
20326,22745 -> 4
1763,10019 -> 7
21268,28744 -> 6
19423,9374 -> 4
1098,5272 -> 8
1624,190 -> 6
5181,9169 -> 4
10830,27391 -> 1
17698,18699 -> 2
8797,27995 -> 5
10556,27843 -> 3
30165,11653 -> 7
3314,2072 -> 6
28888,7166 -> 4
=== Land Nr. 14 ===
25993,11813 -> 7
31627,27162 -> 4
9807,1521 -> 8
28277,15438 -> 5
23650,29866 -> 7
24991,97 -> 2
30040,11045 -> 7
280,10066 -> 3
12137,31454 -> 4
11492,20756 -> 7
29174,5610 -> 8
25477,19565 -> 4
17277,31381 -> 1
32155,14238 -> 4
20054,5801 -> 8
26189,7836 -> 5
30679,30608 -> 5
3967,14844 -> 2
1447,29642 -> 6
12795,32237 -> 5
15209,28529 -> 5
18710,2768 -> 5
20240,193 -> 8
30335,22850 -> 4
7282,6881 -> 5
26166,14790 -> 3
12532,21593 -> 6
13274,1095 -> 4
11877,11262 -> 1
2517,11819 -> 6
12393,10815 -> 5
2058,32177 -> 7
25084,13834 -> 7
17172,18378 -> 2
=== Land Nr. 15 ===
22773,15313 -> 5
11832,8632 -> 2
11159,10834 -> 8
20878,16906 -> 7
6282,7208 -> 4
6943,1238 -> 2
5082,5723 -> 7
13533,13637 -> 2
11204,25442 -> 4
25279,29376 -> 6
3717,3923 -> 1
21358,21098 -> 1
5729,13620 -> 3
21314,19877 -> 5
13205,30390 -> 6
17542,13525 -> 5
25601,28336 -> 2
28974,18853 -> 8
13980,1086 -> 7
2451,26221 -> 4
11550,1875 -> 1
16588,16532 -> 2
14429,16656 -> 1
17079,29183 -> 6
7245,29010 -> 1
2264,6640 -> 6
20139,24612 -> 1
10897,8154 -> 7
28598,1316 -> 2
31337,799 -> 1
24195,8181 -> 8
25934,14507 -> 7
13008,17490 -> 7
27170,29676 -> 2
9319,8554 -> 1
28400,27290 -> 5
11361,32638 -> 6
1689,15171 -> 6
1788,24579 -> 1
13533,11429 -> 2
15542,11186 -> 4
14342,4140 -> 7
4070,14151 -> 6
9898,15419 -> 5
10270,29418 -> 1
5424,25349 -> 7
9955,8556 -> 4
18984,4379 -> 2
2476,19427 -> 8
6549,27395 -> 1
27430,6984 -> 4
7855,25455 -> 8
27180,9508 -> 3
2264,11243 -> 1
18165,22903 -> 6
23466,8228 -> 1
14181,28493 -> 4
11119,28684 -> 5
6534,15053 -> 1
22115,26507 -> 4
6033,4767 -> 7
20620,29311 -> 2
4885,9213 -> 1
6927,29237 -> 2
21785,7116 -> 6
16715,13730 -> 3
8009,12426 -> 8
1308,30730 -> 5
24213,11264 -> 5
4380,16850 -> 6
31176,25838 -> 8
25274,30123 -> 7
5890,30767 -> 8
30579,18535 -> 1
18712,19977 -> 1
28583,27658 -> 8
29253,25505 -> 2
7854,26357 -> 5
23480,14796 -> 6
13118,30278 -> 1
6624,442 -> 7
5190,1728 -> 8
25471,29989 -> 4
3522,20939 -> 1
5618,2829 -> 4
17978,5247 -> 1
19251,15149 -> 6
231,13482 -> 5
13940,4516 -> 6
14775,3156 -> 7
621,16783 -> 3
32673,3638 -> 4
14513,136 -> 1
26379,5643 -> 2
23467,3643 -> 2
20784,3551 -> 3
25863,12951 -> 3
26315,11666 -> 6
22710,587 -> 7
21356,3154 -> 6
8412,11399 -> 8
23618,5049 -> 4
310,17973 -> 6
10317,13008 -> 7
12514,17972 -> 7
18717,811 -> 2
8082,818 -> 8
6845,31950 -> 3
10126,20273 -> 5
13909,26027 -> 5
=== Land Nr. 16 ===
13,5613 -> 4
18080,28622 -> 2
15317,31374 -> 8
24156,1426 -> 5
3614,9839 -> 8
20516,9596 -> 7
1064,7654 -> 7
17546,30600 -> 2
27663,20810 -> 7
13894,1035 -> 1
20914,4013 -> 8
26057,14465 -> 5
24792,19972 -> 6
3236,16594 -> 8
10192,12471 -> 3
28286,15354 -> 1
14397,16070 -> 2
10377,2337 -> 3
3025,27915 -> 6
8635,26229 -> 2
28965,5445 -> 5
3382,28009 -> 8
10479,16360 -> 8
23971,12338 -> 6
22077,14575 -> 1
9069,27275 -> 4
1164,1816 -> 2
26908,27694 -> 3
23757,23129 -> 4
2115,11648 -> 5
16049,12660 -> 2
30395,28512 -> 8
26073,8168 -> 5
32550,27945 -> 6
6851,5303 -> 2
2284,5170 -> 8
15739,6078 -> 6
21292,30328 -> 3
19590,30343 -> 2
9056,22078 -> 3
29824,6887 -> 3
13214,18111 -> 5
17751,5313 -> 2
30140,585 -> 7
28736,3523 -> 2
22468,20567 -> 7
32165,14596 -> 2
27518,13956 -> 6
19650,10678 -> 3
30194,17781 -> 8
30385,9087 -> 6
19762,12033 -> 1
27919,15374 -> 2
22995,1352 -> 3
28806,22782 -> 4
24277,6771 -> 5
21974,1588 -> 3
9716,1878 -> 6
4154,8242 -> 8
10121,29482 -> 3
11840,11030 -> 5
3219,24855 -> 7
29286,14913 -> 2
20090,6221 -> 6
789,21972 -> 3
2984,16850 -> 4
26082,8845 -> 6
14608,9049 -> 8
10256,1449 -> 7
30772,183 -> 4
19141,25032 -> 5
22101,13785 -> 5
21374,11035 -> 1
25801,6462 -> 1
20892,16440 -> 3
17320,15206 -> 4
20509,613 -> 7
12121,12734 -> 1
5864,25414 -> 1
13986,23521 -> 2
24882,22308 -> 4
16963,2128 -> 5
22238,8780 -> 3
22600,6639 -> 1
13548,7488 -> 6
21658,25062 -> 8
13657,7840 -> 5
32114,22966 -> 8
248,2845 -> 3
13752,22438 -> 3
22051,27355 -> 2
26747,19413 -> 4
9572,8450 -> 4
28675,7820 -> 8
16741,19823 -> 5
42,30889 -> 7
29113,18889 -> 5
20222,9535 -> 5
20586,27240 -> 4
10207,26557 -> 6
26707,200 -> 4
5266,9266 -> 2
7835,24704 -> 2
9472,8081 -> 1
7170,10494 -> 1
27037,31742 -> 6
15031,9577 -> 4
15782,31119 -> 6
998,385 -> 5
21947,32255 -> 6
5202,11606 -> 6
31875,1609 -> 6
24967,25382 -> 5
19027,31533 -> 7
24975,10699 -> 7
17942,32248 -> 3
5427,13170 -> 1
3301,13628 -> 6
31009,27557 -> 2
11026,31025 -> 1
31900,14529 -> 1
3218,3573 -> 5
23679,13420 -> 7
9226,28137 -> 4
14257,15284 -> 7
28396,4310 -> 8
28262,727 -> 2
8801,11435 -> 2
28604,8671 -> 3
24575,13033 -> 7
4500,9887 -> 3
8817,23063 -> 2
31932,28083 -> 3
29087,25825 -> 6
11202,10121 -> 6
11002,8350 -> 4
1284,20392 -> 2
5619,21370 -> 3
18657,19374 -> 4
26060,5756 -> 3
29460,13487 -> 4
321,29201 -> 7
23193,18700 -> 2
15800,5109 -> 7
23990,32215 -> 6
32507,11138 -> 8
20478,28241 -> 8
11699,30162 -> 7
15965,19773 -> 3
1546,21825 -> 5
404,20198 -> 4
11595,2078 -> 6
4537,5176 -> 5
6234,16571 -> 3
11654,15930 -> 8
26191,5405 -> 4
16030,20164 -> 8
14758,1774 -> 7
33,9809 -> 2
8121,21645 -> 8
24342,6191 -> 6
2436,27207 -> 4
25750,1420 -> 4
2527,14112 -> 4
18372,1283 -> 6
19635,27323 -> 7
6640,8121 -> 3
22489,19000 -> 1
27003,28210 -> 6
29091,26664 -> 8
18515,11869 -> 4
21045,12260 -> 4
26910,6535 -> 4
23620,28397 -> 3
4726,7232 -> 4
20185,26395 -> 8
2490,27468 -> 8
1299,2759 -> 7
24418,6201 -> 6
14903,24631 -> 5
=== Land Nr. 17 ===
17633,3383 -> 4
14179,15342 -> 6
22636,2875 -> 3
7607,6580 -> 8
11592,13979 -> 6
31464,27248 -> 6
22384,15776 -> 5
20321,16681 -> 4
30628,459 -> 6
29832,29644 -> 6
16718,14260 -> 5
14025,5254 -> 2
17856,31440 -> 4
19045,11985 -> 4
2218,10629 -> 6
21312,32655 -> 4
4066,21326 -> 4
22309,441 -> 5
21727,26089 -> 1
28472,12696 -> 7
18528,26548 -> 4
14468,26241 -> 6
2371,15567 -> 3
11510,10113 -> 1
5501,418 -> 5
1308,31114 -> 3
10401,16585 -> 4
22654,26100 -> 8
15753,927 -> 1
13683,28277 -> 5
20723,17370 -> 2
10939,24542 -> 4
8504,27131 -> 4
3142,1850 -> 8
16736,18282 -> 2
19295,6012 -> 6
27117,17707 -> 7
24641,19712 -> 6
2579,27018 -> 5
27765,23540 -> 5
4952,13765 -> 4
1082,20576 -> 8
14316,28263 -> 4
16550,27354 -> 2
31274,5326 -> 5
19890,11227 -> 6
21882,18433 -> 5
16646,10467 -> 1
1964,30747 -> 1
32655,14639 -> 4
13903,6610 -> 1
3141,19184 -> 8
2220,28660 -> 5
17578,13124 -> 4
23152,24316 -> 4
24555,23132 -> 2
13353,8970 -> 1
2985,4759 -> 7
3617,15073 -> 5
=== Land Nr. 18 ===
19923,1153 -> 4
22336,31417 -> 6
29979,13031 -> 2
7411,4100 -> 1
27113,395 -> 3
21078,23422 -> 6
12249,11806 -> 3
25611,31006 -> 3
27687,7809 -> 6
21382,9659 -> 3
24475,6273 -> 5
20405,132 -> 8
717,13968 -> 1
31308,31401 -> 4
27097,2587 -> 8
4136,12728 -> 1
20703,10137 -> 1
20595,413 -> 4
17635,8550 -> 4
4506,24909 -> 1
21732,3581 -> 7
17468,10622 -> 5
9539,27451 -> 8
903,18175 -> 2
13276,21416 -> 7
4047,8837 -> 4
9554,23548 -> 6
31549,17938 -> 2
9345,24155 -> 8
14821,3127 -> 6
17177,17919 -> 2
32171,32746 -> 3
30402,26942 -> 1
7094,5024 -> 3
20585,31036 -> 3
31850,3307 -> 3
29564,21925 -> 3
6176,32209 -> 1
12605,30778 -> 2
4620,30610 -> 8
4219,32545 -> 2
28697,23196 -> 4
1103,28214 -> 1
2468,21972 -> 7
13488,24266 -> 8
24662,23437 -> 3
4600,21141 -> 5
32149,7350 -> 6
2227,2506 -> 3
29756,2858 -> 6
7500,25995 -> 7
6559,2605 -> 8
3962,22317 -> 6
14854,24687 -> 6
29557,29196 -> 7
19494,16695 -> 8
859,14567 -> 6
17464,27268 -> 4
21840,243 -> 2
29380,29754 -> 1
13119,5158 -> 6
9283,4288 -> 6
5957,26992 -> 7
19985,14748 -> 5
23592,9433 -> 6
19064,8931 -> 7
4971,27319 -> 5
18610,26274 -> 3
15077,14464 -> 7
30514,13710 -> 6
18907,15078 -> 7
23967,3213 -> 6
21010,19509 -> 3
10558,1798 -> 1
19284,14134 -> 3
10681,29682 -> 3
8278,23035 -> 3
13709,26665 -> 2
18960,8549 -> 7
29835,12890 -> 2
17112,24901 -> 8
29725,26032 -> 2
27877,5730 -> 5
15455,13850 -> 8
16386,30409 -> 6
11813,11686 -> 5
16542,10809 -> 1
4484,25715 -> 4
30329,26502 -> 6
14719,27943 -> 5
25499,21825 -> 1
19677,9709 -> 8
27740,15123 -> 4
27994,8797 -> 2
18342,7812 -> 4
28077,31983 -> 1
31419,8490 -> 1
23583,7864 -> 2
9752,12143 -> 6
10913,675 -> 2
4442,5748 -> 1
32418,13677 -> 5
556,15546 -> 3
542,26120 -> 5
3750,19605 -> 8
15501,21041 -> 3
21923,28825 -> 3
21964,18776 -> 3
26615,8570 -> 1
32266,29749 -> 1
17304,16931 -> 6
23906,6555 -> 5
7688,12770 -> 7
12975,18788 -> 1
28068,26113 -> 8
31923,15499 -> 3
14771,21291 -> 8
31150,26075 -> 1
18229,17499 -> 6
18680,12459 -> 5
19696,93 -> 7
22333,21416 -> 7
811,8191 -> 1
18784,31650 -> 7
13327,1659 -> 1
